Name,Membership,Location,Reputation,Reached,Answers,Questions,Gold Badges,Silver Badges,Bronze Badges,Tags,Profile Link
rick james,"11 years, 8 months",California,"140,163",15.8m,"10,322",5,,,,"mysql 7,847,sql 1,461,mariadb 1,427,performance 1,052,database 1,048,indexing 1,013,",https://stackoverflow.com/users/1766831/rick-james
m m,12 years,New Zealand,"140,382",9.5m,"3,632",190,,,,"c++ 6,711,c 4,703,pointers 1,371,c++11 1,274,arrays 1,130,language-lawyer 940,",https://stackoverflow.com/users/1505939/m-m
vcsjones,"13 years, 8 months","Alexandria, VA","140,587",12.0m,"1,268",25,,,,"c# 6,030,asp.net 1,611,.net 1,441,git 572,javascript 536,asp.net-mvc 508,",https://stackoverflow.com/users/492405/vcsjones
tadeck,"13 years, 7 months","Warsaw, Poland","135,902",19.6m,951,21,,,,"python 4,131,javascript 2,596,jquery 1,045,php 791,django 674,html 284,",https://stackoverflow.com/users/548696/tadeck
jonathon reinhart,"15 years, 1 month",,"135,920",14.6m,"1,843",81,,,,"c 4,123,python 3,444,c++ 2,502,assembly 2,206,c# 1,468,linux 739,",https://stackoverflow.com/users/119527/jonathon-reinhart
colonel panic,"14 years, 4 months","Cambridge, UK","136,149",58.1m,441,300,,,,"python 3,555,c# 3,070,.net 759,visual-studio 444,git 444,algorithm 411,",https://stackoverflow.com/users/284795/colonel-panic
t c,"10 years, 10 months",Earth,"136,229",3.3m,"1,782",16,17,295,429,"c++ 12,200,c++11 5,675,templates 2,230,c++14 1,625,c++17 1,449,language-lawyer 1,383,",https://stackoverflow.com/users/2756719/t-c
donal fellows,"14 years, 3 months","Manchester, United Kingdom","136,301",16.7m,"4,155",4,,,,"tcl 5,815,java 1,289,tk-toolkit 729,python 529,sqlite 517,expect 427,",https://stackoverflow.com/users/301832/donal-fellows
chrisf,"15 years, 5 months",♦,"136,434",18.8m,"2,484",47,,,,"c# 7,596,wpf 2,344,.net 2,064,winforms 892,asp.net 869,xaml 739,",https://stackoverflow.com/users/59303/chrisf
simon mourier,"13 years, 11 months","Paris, France","136,455",18.4m,"2,002",0,,,,"c# 5,686,.net 2,283,html-agility-pack 870,windows 791,winforms 772,c++ 770,",https://stackoverflow.com/users/403671/simon-mourier
jonas wilms,"8 years, 10 months","Karlsruhe, Deutschland","136,477",13.0m,"4,758",4,,,,"javascript 10,638,ecmascript-6 2,062,reactjs 1,920,typescript 1,591,node.js 1,416,arrays 1,132,",https://stackoverflow.com/users/5260024/jonas-wilms
walker,"14 years, 1 month","Providence, RI","132,673",14.6m,4,116,,,,"html 4,css 3,php 1,javascript 0,codeigniter 0,jquery 0,",https://stackoverflow.com/users/364969/walker
jim mischel,"15 years, 6 months","Austin, TX","132,616",13.2m,"3,397",31,22,192,356,"c# 5,862,algorithm 2,321,.net 1,658,multithreading 1,227,data-structures 884,sorting 621,",https://stackoverflow.com/users/56778/jim-mischel
%cf%81%d1%8f%cf%83%d1%95%cf%81%d1%94%d1%8f k,"12 years, 5 months",India,"132,776",12.6m,"2,930",5,,,,"android 10,639,java 1,859,android-intent 1,005,android-fragments 952,android-activity 730,json 640,",https://stackoverflow.com/users/1202025/%cf%81%d1%8f%cf%83%d1%95%cf%81%d1%94%d1%8f-k
antti haapala %d0%a1%d0%bb%d0%b0%d0%b2%d0%b0 %d0%a3%d0%ba%d1%80%d0%b0%d1%97%d0%bd%d1%96,"12 years, 10 months","Oulu, Finland","132,700",23.3m,"2,416",19,,,,"python 6,698,c 4,438,python-3.x 1,661,gcc 528,c++ 443,python-2.7 438,",https://stackoverflow.com/users/918959/antti-haapala-%d0%a1%d0%bb%d0%b0%d0%b2%d0%b0-%d0%a3%d0%ba%d1%80%d0%b0%d1%97%d0%bd%d1%96
martin thoma,"13 years, 6 months","München, Deutschland","132,804",65.9m,851,694,,,,"python 5,298,machine-learning 899,keras 584,pdf 419,deep-learning 364,neural-network 330,",https://stackoverflow.com/users/562769/martin-thoma
jack,"15 years, 1 month",Italy,"132,949",17.7m,"2,528",144,,,,"java 5,264,c++ 2,018,c 1,343,string 805,swing 534,pointers 507,",https://stackoverflow.com/users/121747/jack
scaisedge,"10 years, 3 months","Gandellino, Italy","132,987",7.6m,"8,307",1,,,,"mysql 3,629,sql 2,512,php 2,228,yii2 1,966,google-maps 652,oracle 405,",https://stackoverflow.com/users/3522312/scaisedge
cassiomolin,"12 years, 1 month","Dublin, Ireland","128,806",10.8m,"1,124",25,,,,"java 5,605,rest 4,537,jax-rs 2,828,http 2,022,jackson 1,227,json 1,145,",https://stackoverflow.com/users/1426227/cassiomolin
arshajii,"12 years, 2 months","Cambridge, MA, United States","128,861",16.0m,"1,606",28,26,243,291,"java 8,542,python 3,152,string 1,780,list 1,357,regex 818,python-3.x 544,",https://stackoverflow.com/users/1357341/arshajii
roman,"14 years, 6 months",,"129,139",26.0m,27,621,172,362,461,"python 63,java 58,user-interface 57,swing 57,c++ 53,pandas 28,",https://stackoverflow.com/users/245549/roman
david hedlund,15 years,"Falkenberg, Sweden","129,389",22.8m,"1,653",24,,,,"jquery 5,385,javascript 4,744,html 2,112,android 1,197,c# 995,css 559,",https://stackoverflow.com/users/133802/david-hedlund
sulthan,"13 years, 4 months","Praha, Czech Republic","129,446",8.7m,"2,241",9,,,,"swift 6,245,ios 4,419,objective-c 2,095,xcode 1,002,reactjs 840,swift3 563,",https://stackoverflow.com/users/669586/sulthan
dbenham,"12 years, 8 months",U.S. East Coast,"129,539",20.6m,"2,327",15,,,,"batch-file 9,702,windows 4,348,cmd 3,961,command-line 628,findstr 587,dos 299,",https://stackoverflow.com/users/1012053/dbenham
llogan,"12 years, 7 months",Alaska,"129,540",9.9m,"1,506",0,29,247,257,"ffmpeg 11,326,video 4,509,audio 2,199,video-processing 682,linux 239,mp4 218,",https://stackoverflow.com/users/1109017/llogan
marcinjuraszek,"12 years, 5 months","Bellevue, WA, United States","125,176",10.8m,"2,748",24,,,,"c# 8,493,linq 2,550,.net 1,438,entity-framework 981,list 572,sql 533,",https://stackoverflow.com/users/1163867/marcinjuraszek
georg sch%c3%b6lly,"15 years, 9 months",Schweiz,"125,508",17.5m,592,115,53,222,273,"objective-c 2,689,python 2,603,javascript 2,059,cocoa 889,c 883,iphone 410,",https://stackoverflow.com/users/24587/georg-sch%c3%b6lly
vladimir matveev,"13 years, 1 month","Cupertino, CA","125,457",5.9m,806,63,,,,"rust 8,375,scala 1,697,java 777,haskell 370,akka-stream 248,clojure 210,",https://stackoverflow.com/users/788207/vladimir-matveev
gnovice,"15 years, 6 months","Hamilton, Ohio, USA","125,634",16.5m,"1,834",4,,,,"matlab 10,178,matrix 2,032,plot 992,function 711,arrays 692,image-processing 535,",https://stackoverflow.com/users/52738/gnovice
davidism,"13 years, 11 months","San Diego, CA","125,611",10.1m,"1,121",0,,,,"python 10,385,flask 8,487,sqlalchemy 2,123,flask-sqlalchemy 1,027,alembic 832,jinja2 758,",https://stackoverflow.com/users/400617/davidism
andrew whitaker,"13 years, 8 months","South Carolina, USA","125,652",12.5m,"1,488",3,32,292,307,"jquery 6,692,javascript 3,451,jquery-ui 3,191,jquery-ui-autocomplete 2,042,c# 1,743,autocomplete 1,370,",https://stackoverflow.com/users/497356/andrew-whitaker
rickster,"12 years, 10 months",Silicon Valley,"125,674",8.1m,"1,376",9,,,,"swift 7,442,ios 4,208,scenekit 1,350,objective-c 1,228,arkit 1,042,xcode 849,",https://stackoverflow.com/users/957768/rickster
jorgesys,"14 years, 6 months","Mexico City, Mexico /Iași, Romania","125,733",55.3m,"1,474",24,,,,"android 10,631,android-activity 909,java 844,android-studio 471,eclipse 427,android-intent 408,",https://stackoverflow.com/users/250260/jorgesys
katriel,"13 years, 11 months",UK,"122,580",21.3m,825,8,,,,"python 11,643,list 1,064,python-3.x 865,numpy 373,string 232,dictionary 178,",https://stackoverflow.com/users/398968/katriel
you,"14 years, 8 months",,"122,739",27.5m,"1,006",32,,,,"python 6,363,string 1,325,javascript 1,082,regex 918,ruby 820,php 396,",https://stackoverflow.com/users/213464/you
orion edwards,"15 years, 11 months",New Zealand,"122,858",17.0m,583,141,,,,"c# 3,665,ruby 1,167,ruby-on-rails 883,c++ 659,.net 561,wpf 554,",https://stackoverflow.com/users/234/orion-edwards
jonathan lonowski,"15 years, 10 months","Omaha, NE","122,865",15.6m,"1,193",11,34,201,202,"javascript 5,710,node.js 3,494,express 1,299,jquery 995,json 586,arrays 575,",https://stackoverflow.com/users/15031/jonathan-lonowski
peter niederwieser,"15 years, 3 months",Austria,"123,226",10.7m,"1,360",1,,,,"gradle 9,808,java 1,815,groovy 1,463,spock 832,build.gradle 792,build 696,",https://stackoverflow.com/users/84889/peter-niederwieser
gordon davisson,"15 years, 3 months",,"123,300",12.1m,"1,521",0,16,132,161,"bash 8,824,macos 2,479,shell 1,556,linux 627,terminal 452,unix 281,",https://stackoverflow.com/users/89817/gordon-davisson
aleksei matiushkin,"11 years, 5 months","Spain, Barcelona","120,278",4.2m,"4,072",58,,,,"ruby 6,190,elixir 3,241,ruby-on-rails 1,454,phoenix-framework 597,arrays 588,hash 367,",https://stackoverflow.com/users/2035262/aleksei-matiushkin
benjamin pasero,"9 years, 2 months","Zurich, Switzerland","120,380",7.7m,89,1,,,,"visual-studio-code 11,866,editor 2,029,configuration 1,714,regex 809,git 696,macos 91,",https://stackoverflow.com/users/4851043/benjamin-pasero
leftaroundabout,"13 years, 2 months",Stockholm. Sweden,"120,371",2.5m,"1,959",89,,,,"haskell 9,700,functional-programming 1,105,types 796,monads 702,typeclass 485,list 370,",https://stackoverflow.com/users/745903/leftaroundabout
josh david miller,"14 years, 5 months",California,"120,513",5.0m,133,2,,,,"angularjs 12,980,javascript 8,194,angularjs-ng-repeat 1,668,angularjs-directive 1,184,angularjs-scope 562,html 352,",https://stackoverflow.com/users/259038/josh-david-miller
george mauer,"15 years, 10 months",United States,"120,732",18.3m,375,722,,,,"c# 507,powershell 342,javascript 249,.net 206,asp.net-mvc 154,asp.net 153,",https://stackoverflow.com/users/5056/george-mauer
tamas czinege,"15 years, 10 months","New York, NY, United States","120,650",20.0m,428,32,,,,"c# 3,488,html 2,034,.net 1,681,css 1,424,jquery 964,javascript 917,",https://stackoverflow.com/users/8954/tamas-czinege
steffen ullrich,"10 years, 7 months",Germany,"120,763",14.8m,"3,738",0,,,,"ssl 4,952,sockets 1,430,python 1,277,perl 1,144,tcp 925,https 888,",https://stackoverflow.com/users/3081018/steffen-ullrich
devart,"15 years, 2 months","Prague, Czech Republic","120,802",23.7m,"2,827",0,,,,"mysql 5,693,sql 3,305,sql-server 3,224,t-sql 933,sql-server-2008 779,c# 758,",https://stackoverflow.com/users/135566/devart
sam varshavchik,"9 years, 11 months",Basement,"117,731",3.7m,"3,608",1,5,98,157,"c++ 8,605,c++11 996,templates 630,multithreading 481,linux 436,c 428,",https://stackoverflow.com/users/3943312/sam-varshavchik
yuji tomita tomita,"14 years, 5 months","New York, NY","117,768",9.0m,"1,064",69,,,,"django 9,333,python 3,980,django-models 1,309,django-forms 1,109,django-views 925,django-templates 764,",https://stackoverflow.com/users/267887/yuji-tomita-tomita
arup rakshit,"11 years, 8 months","Kolkata, West Bengal, India","117,805",8.9m,"2,644",249,,,,"ruby 7,904,ruby-on-rails 2,388,arrays 1,318,hash 631,ruby-on-rails-4 376,javascript 265,",https://stackoverflow.com/users/2767755/arup-rakshit
jtbandes,"15 years, 9 months","Seattle, WA","117,841",7.0m,"1,234",71,,,,"swift 3,144,ios 2,320,ruby 1,830,objective-c 1,814,iphone 1,148,xcode 439,",https://stackoverflow.com/users/23649/jtbandes
seth ladd,"15 years, 1 month","Mountain View, CA","117,881",6.8m,236,160,,,,"dart 5,595,flutter 1,914,dart-io 86,dart-webui 61,dart-polymer 56,html 54,",https://stackoverflow.com/users/123471/seth-ladd
n m could be an ai,"13 years, 1 month",,"118,205",5.1m,"3,214",93,,,,"c++ 5,122,c 2,161,haskell 885,linux 769,c++11 714,templates 635,",https://stackoverflow.com/users/775806/n-m-could-be-an-ai
mob,"14 years, 10 months","San Francisco, CA","118,233",10.7m,"2,052",13,,,,"perl 7,528,shell 1,387,bash 1,300,regex 559,linux 552,arrays 535,",https://stackoverflow.com/users/168657/mob
arun,"13 years, 6 months",,"118,271",12.7m,"1,303",18,28,287,391,"r 10,645,data.table 3,936,ggplot2 1,637,dataframe 1,274,dplyr 587,reshape 374,",https://stackoverflow.com/users/559784/arun
orlp,"13 years, 6 months","Leiden, Netherlands","115,266",17.1m,"1,470",159,,,,"python 3,479,c++ 2,757,c 1,516,list 1,135,algorithm 324,rust 313,",https://stackoverflow.com/users/565635/orlp
apneadiving,"14 years, 1 month","Nice, France","115,273",5.3m,"1,753",42,,,,"ruby-on-rails 9,207,ruby 5,653,ruby-on-rails-3 4,938,rspec 1,317,activerecord 643,gmaps4rails 637,",https://stackoverflow.com/users/350087/apneadiving
staxman,"15 years, 5 months","Seattle, WA","115,446",27.4m,"1,444",26,,,,"java 7,442,json 7,344,jackson 6,947,serialization 783,deserialization 400,xml 360,",https://stackoverflow.com/users/59501/staxman
i3arnon,"12 years, 11 months","Tel Aviv, Israel","115,318",7.1m,902,28,,,,"c# 9,891,.net 6,492,async-await 5,078,task-parallel-library 3,604,asynchronous 1,683,mongodb 1,505,",https://stackoverflow.com/users/885318/i3arnon
thomas owens,"15 years, 11 months","Rochester, NY, United States","115,491",27.3m,461,236,,,,"java 833,php 511,c 321,design-patterns 228,c++ 213,eclipse 99,",https://stackoverflow.com/users/572/thomas-owens
goleztrol,"13 years, 8 months",Netherlands,"115,498",16.6m,"3,411",20,,,,"php 2,112,css 1,662,html 1,591,mysql 1,289,sql 1,215,javascript 1,033,",https://stackoverflow.com/users/511529/goleztrol
l b,"13 years, 8 months",,"115,584",13.2m,"1,872",0,20,183,226,"c# 9,727,json 2,497,.net 1,861,json.net 1,573,xml 851,linq 757,",https://stackoverflow.com/users/932418/l-b
lc,"15 years, 7 months",Japan,"115,558",16.2m,"1,623",25,20,160,188,"c# 5,120,sql 1,457,sql-server 989,mysql 937,.net 605,sql-server-2008 593,",https://stackoverflow.com/users/44853/lc
joran beasley,"13 years, 7 months",https://joranbeasley.net/,"112,836",18.5m,"3,419",24,,,,"python 9,025,string 1,268,list 1,066,python-2.7 791,django 660,pandas 428,",https://stackoverflow.com/users/541038/joran-beasley
stefan,"13 years, 9 months","Bremen, Germany","112,848",3.8m,"2,328",37,,,,"ruby 8,055,ruby-on-rails 2,165,arrays 1,016,ruby-on-rails-3 334,hash 327,string 318,",https://stackoverflow.com/users/477037/stefan
roman pekar,"11 years, 9 months","Amsterdam, Netherlands","112,968",16.3m,"1,797",23,,,,"python 4,684,pandas 3,728,sql 3,516,postgresql 2,260,sql-server 1,760,t-sql 740,",https://stackoverflow.com/users/1744834/roman-pekar
robin rodricks,"15 years, 7 months","Mumbai, Maharashtra, India","113,046",14.3m,169,646,146,411,615,"c# 305,flash 110,javascript 89,.net 56,actionscript 46,actionscript-3 45,",https://stackoverflow.com/users/41021/robin-rodricks
peak,"13 years, 4 months","Princeton, NJ","113,125",17.3m,"3,335",8,,,,"jq 8,688,json 7,294,bash 2,638,arrays 883,key 838,shell 494,",https://stackoverflow.com/users/997358/peak
paulw11,"10 years, 4 months",Australia,"113,072",4.8m,"2,983",12,,,,"ios 7,720,swift 4,409,objective-c 1,277,xcode 976,uitableview 672,core-bluetooth 656,",https://stackoverflow.com/users/3418066/paulw11
vitalii fedorenko,"14 years, 5 months","Toronto, Canada","113,162",77.2m,137,2,,,,"java 8,220,arraylist 2,385,javascript 1,870,string 1,710,arrays 980,collections 891,",https://stackoverflow.com/users/288671/vitalii-fedorenko
nevan king,"15 years, 4 months",,"113,349",6.9m,623,138,,,,"ios 5,954,cocoa-touch 3,563,objective-c 2,571,iphone 2,021,xcode 923,mapkit 423,",https://stackoverflow.com/users/74118/nevan-king
jesper r%c3%b8nn jensen,"15 years, 2 months","Copenhagen, Denmark","109,888",6.6m,62,101,,,,"git 2,013,logging 1,152,git-svn 336,jquery 34,javascript 13,cucumber 10,",https://stackoverflow.com/users/109305/jesper-r%c3%b8nn-jensen
kjhughes,"14 years, 4 months","Ohio, USA","109,911",13.8m,"3,000",4,,,,"xml 7,794,xsd 2,891,xpath 2,698,xslt 1,537,xml-validation 1,167,html 1,160,",https://stackoverflow.com/users/290085/kjhughes
dirkgently,"15 years, 5 months",,"109,926",21.0m,"1,482",4,,,,"c++ 4,153,c 2,022,stl 631,string 307,templates 305,apache-flex 146,",https://stackoverflow.com/users/66692/dirkgently
cary swoveland,"14 years, 5 months","Victoria, British Columbia, Canada","109,926",4.6m,"5,705",10,,,,"ruby 8,051,arrays 2,111,regex 1,291,hash 978,ruby-on-rails 939,string 894,",https://stackoverflow.com/users/256970/cary-swoveland
joseph mansfield,"14 years, 11 months","Edinburgh, United Kingdom","110,016",9.4m,"1,650",38,,,,"c++ 10,171,c++11 1,699,pointers 719,templates 713,stl 644,c 571,",https://stackoverflow.com/users/150634/joseph-mansfield
teifion,"15 years, 11 months","Wales, United Kingdom","110,063",13.0m,49,123,,,,"python 200,php 45,html 26,regex 10,javascript 7,mysql 7,",https://stackoverflow.com/users/1384652/teifion
rsp,"13 years, 5 months","Warsaw, Poland","110,100",14.0m,"1,483",0,,,,"node.js 4,725,javascript 3,857,jquery 1,118,express 588,npm 470,html 325,",https://stackoverflow.com/users/613198/rsp
anapprentice,"14 years, 11 months",United States,"110,110",13.2m,39,"1,688",,,,"ruby-on-rails 29,reactjs 15,ruby 13,ruby-on-rails-3 9,jquery 9,css 7,",https://stackoverflow.com/users/149080/anapprentice
barry wark,"15 years, 11 months","Boston, MA","107,586",7.3m,623,31,,,,"objective-c 7,581,cocoa 4,276,core-data 1,975,iphone 1,500,cocoa-touch 1,283,macos 1,202,",https://stackoverflow.com/users/2140/barry-wark
gabriele petronella,13 years,"Milan, Italy","107,771",5.3m,"1,066",33,,,,"ios 4,587,objective-c 3,971,scala 1,908,swift 1,905,iphone 1,377,ios7 898,",https://stackoverflow.com/users/846273/gabriele-petronella
spencer7593,"15 years, 2 months","Saint Charles, MO, United States","107,782",11.3m,"3,818",6,15,116,145,"mysql 6,474,sql 2,624,php 1,079,database 1,068,sql-server 343,join 309,",https://stackoverflow.com/users/107744/spencer7593
mark,"15 years, 10 months","Maryland, United States","107,785",8.9m,"2,330",39,20,176,234,"javascript 2,996,d3.js 2,770,python 1,410,jquery 1,198,highcharts 1,035,flot 973,",https://stackoverflow.com/users/16363/mark
david hellsing,"14 years, 8 months","Gothenburg, Sweden","107,812",14.4m,991,104,,,,"javascript 5,666,jquery 3,964,reactjs 1,675,html 489,arrays 461,css 217,",https://stackoverflow.com/users/210578/david-hellsing
gert arnold,"12 years, 11 months","Wageningen, Netherlands","107,817",7.0m,"2,472",12,,,,"c# 5,145,entity-framework 4,907,linq 2,227,entity-framework-core 881,sql-server 626,.net 563,",https://stackoverflow.com/users/861716/gert-arnold
andreas rejbrand,"14 years, 4 months",Sweden,"107,871",6.6m,"1,298",55,,,,"delphi 8,169,delphi-7 857,delphi-2010 518,windows 424,string 391,winapi 346,",https://stackoverflow.com/users/282848/andreas-rejbrand
matthew watson,"15 years, 2 months","Edinburgh, United Kingdom","107,908",9.9m,"2,557",93,11,170,291,"c# 8,370,.net 2,102,multithreading 597,string 563,linq 483,arrays 351,",https://stackoverflow.com/users/106159/matthew-watson
tony delroy,"13 years, 11 months",Hong Kong,"104,757",21.1m,"2,654",11,,,,"c++ 7,984,c 1,409,c++11 770,string 412,stl 385,vector 273,",https://stackoverflow.com/users/410767/tony-delroy
gman,15 years,Earth,"104,990",13.1m,"1,990",244,,,,"webgl 4,604,javascript 3,640,three.js 1,298,html 1,049,canvas 726,glsl 711,",https://stackoverflow.com/users/128511/gman
jordan running,"14 years, 9 months",Minnesota,"105,005",7.5m,"1,646",1,,,,"ruby 2,984,javascript 1,798,ruby-on-rails 1,758,arrays 1,703,json 1,206,php 884,",https://stackoverflow.com/users/179125/jordan-running
david sherret,"14 years, 9 months","Toronto, Canada","105,064",10.1m,575,35,,,,"typescript 7,405,javascript 2,806,ecmascript-6 1,486,c# 450,typescript-compiler-api 278,entity-framework 233,",https://stackoverflow.com/users/188246/david-sherret
parand,"15 years, 10 months","San Diego, CA","105,142",10.5m,77,153,,,,"python 464,javascript 378,jquery 121,django 90,html 64,django-models 50,",https://stackoverflow.com/users/13055/parand
zeta,"12 years, 6 months",,"105,156",8.1m,"1,293",21,,,,"haskell 2,674,html 2,356,css 2,284,javascript 1,527,c++ 1,438,c 435,",https://stackoverflow.com/users/1139697/zeta
stephen canon,"14 years, 11 months","Hanover, NH, USA","105,303",8.4m,953,0,20,187,272,"floating-point 4,274,c 3,387,c++ 2,138,assembly 2,071,x86 969,math 943,",https://stackoverflow.com/users/142434/stephen-canon
jonathan livni,"14 years, 1 month",New York,"105,324",11.4m,92,343,,,,"python 1,741,multithreading 67,list 66,django 30,logging 30,c++ 13,",https://stackoverflow.com/users/348545/jonathan-livni
venkatachalam,"15 years, 7 months","Salem, Tamil Nadu, India","102,459",9.4m,3,98,,,,"jquery 0,ajax 0,html 0,mysql 0,css 0,hyperlink 0,",https://stackoverflow.com/users/44984/venkatachalam
web tiki,"11 years, 8 months","Brest, France","102,562",11.2m,841,39,,,,"css 8,794,html 5,078,css-shapes 3,602,responsive-design 2,220,svg 1,856,javascript 778,",https://stackoverflow.com/users/1811992/web-tiki
blorgbeard,"15 years, 11 months",,"102,650",16.2m,"1,191",73,50,233,276,"c# 2,574,sql-server 1,580,sql 1,461,.net 592,python 467,winforms 374,",https://stackoverflow.com/users/369/blorgbeard
chridam,"15 years, 1 month",,"102,832",12.1m,"2,349",10,,,,"mongodb 6,604,aggregation-framework 2,080,mongodb-query 1,971,node.js 1,789,mongoose 1,488,javascript 1,125,",https://stackoverflow.com/users/122005/chridam
vincent ramdhanie,"15 years, 9 months",United States,"102,835",23.6m,"1,357",19,,,,"java 2,296,jquery 870,javascript 573,mysql 447,html 360,swing 285,",https://stackoverflow.com/users/27439/vincent-ramdhanie
curtis,"14 years, 1 month","London, UK","102,842",16.7m,"1,384",278,,,,"css 2,157,sql 1,802,html 1,796,javascript 1,477,jquery 1,386,sql-server 1,380,",https://stackoverflow.com/users/370103/curtis
ben hoffstein,"15 years, 10 months","New York, New York United States","102,947",19.5m,285,1,8,105,121,"sql-server 1,251,python 819,sql 476,c# 432,.net 249,excel 168,",https://stackoverflow.com/users/4482/ben-hoffstein
selbie,"15 years, 2 months","Seattle, WA","102,994",7.7m,"2,502",60,15,106,180,"c++ 2,366,c 1,062,sockets 807,windows 749,winapi 438,java 183,",https://stackoverflow.com/users/104458/selbie
tommy,"13 years, 11 months",,"100,388",6.3m,"1,812",0,,,,"ios 3,689,objective-c 2,666,iphone 1,805,xcode 793,opengl-es 753,cocoa-touch 581,",https://stackoverflow.com/users/427332/tommy
sloth,"14 years, 11 months",,"100,499",9.7m,"1,801",18,,,,"python 3,662,c# 2,704,pygame 1,828,.net 990,vb.net 851,linq 711,",https://stackoverflow.com/users/142637/sloth
evk,"8 years, 10 months",Russia,"100,513",3.6m,"1,574",0,8,149,197,"c# 6,589,.net 1,440,wpf 537,async-await 436,linq 389,entity-framework 337,",https://stackoverflow.com/users/5311735/evk
paul lebeau,"12 years, 3 months",New Zealand,"100,501",8.7m,"2,793",9,,,,"svg 7,046,css 2,827,html 2,481,javascript 1,727,android 642,animation 340,",https://stackoverflow.com/users/1292848/paul-lebeau
evan fosmark,"15 years, 6 months",Oregon,"100,701",17.6m,110,50,36,107,118,"python 4,877,php 130,string 96,class 85,regex 69,python-3.x 17,",https://stackoverflow.com/users/49701/evan-fosmark
ikke,"15 years, 10 months",Netherlands,"100,713",15.2m,439,50,,,,"git 6,926,javascript 620,php 574,python 449,jquery 117,html 110,",https://stackoverflow.com/users/20261/ikke
tom ritter,"15 years, 10 months","New York, NY","100,802",14.7m,366,47,31,141,174,"javascript 5,491,c# 768,asp.net 490,.net 426,sql 210,security 167,",https://stackoverflow.com/users/8435/tom-ritter
john dibling,"15 years, 9 months","Chicago, IL","100,836",13.7m,"1,492",125,,,,"c++ 7,739,c++11 605,stl 549,class 305,c 272,vector 258,",https://stackoverflow.com/users/241536/john-dibling
sparky,"13 years, 5 months","Chicago, IL","98,549",13.0m,"2,254",64,,,,"jquery 5,591,jquery-validate 5,148,javascript 1,051,css 884,html 662,validation 487,",https://stackoverflow.com/users/594235/sparky
lin du,"8 years, 1 month",Japan,"98,555",12.0m,"2,766",374,,,,"jestjs 3,130,reactjs 2,102,javascript 2,068,unit-testing 1,731,node.js 1,719,typescript 1,264,",https://stackoverflow.com/users/6463558/lin-du
georg fritzsche,"14 years, 10 months","Berlin, Germany","98,576",7.8m,"1,058",33,,,,"c++ 6,464,objective-c 1,383,templates 1,031,iphone 727,cocoa 626,boost 522,",https://stackoverflow.com/users/168225/georg-fritzsche
eli,"15 years, 9 months","Los Angeles, CA","98,668",7.4m,83,56,21,78,82,"php 85,javascript 31,html 30,jquery 20,mysql 9,forms 7,",https://stackoverflow.com/users/27580/eli
kirill v lyadvinsky,"15 years, 1 month","Moscow, Russia","98,789",12.3m,846,28,,,,"c++ 8,444,visual-c++ 451,templates 435,stl 395,winapi 392,c 281,",https://stackoverflow.com/users/123111/kirill-v-lyadvinsky
martin ullrich,"13 years, 1 month","Vienna, Austria","98,714",6.0m,"1,059",4,,,,".net-core 5,009,c# 3,228,msbuild 2,815,.net 2,552,nuget 1,710,asp.net-core 1,485,",https://stackoverflow.com/users/784387/martin-ullrich
hashem qolami,"11 years, 9 months","Tehran, Tehran Province, Iran","98,796",13.0m,762,0,,,,"css 8,525,html 7,279,twitter-bootstrap 2,081,vertical-alignment 1,814,css-selectors 605,javascript 374,",https://stackoverflow.com/users/1725764/hashem-qolami
rich scriven,"10 years, 7 months",,"98,835",10.2m,"1,895",86,,,,"r 8,033,dataframe 972,dplyr 598,regex 548,string 383,list 371,",https://stackoverflow.com/users/3063910/rich-scriven
lazy badger,"12 years, 9 months",Russia,"96,370",7.5m,"2,599",2,,,,"git 4,557,svn 2,321,mercurial 1,328,version-control 511,tortoisesvn 510,tortoisehg 314,",https://stackoverflow.com/users/960558/lazy-badger
garys student,"11 years, 1 month","Fenwick Island, DE, USA","96,348",13.8m,"5,396",59,,,,"excel 6,118,vba 4,338,excel-formula 981,excel-2010 190,arrays 169,formula 102,",https://stackoverflow.com/users/2474656/garys-student
hyry,"13 years, 1 month","Kobe, Japan","96,518",13.2m,"1,191",35,27,191,191,"python 7,916,pandas 2,978,numpy 2,940,matplotlib 2,615,scipy 710,plot 599,",https://stackoverflow.com/users/772649/hyry
apangin,"10 years, 3 months",,"96,597",3.0m,"1,043",1,,,,"java 7,772,jvm 5,994,performance 2,135,jvm-hotspot 1,548,jit 1,160,memory 717,",https://stackoverflow.com/users/3448419/apangin
hansup,"15 years, 4 months","Colorado, US","96,600",14.4m,"2,828",0,11,79,136,"ms-access 6,492,vba 3,137,sql 1,897,ms-access-2007 910,ms-access-2010 852,database 298,",https://stackoverflow.com/users/77335/hansup
joe white,"15 years, 3 months","Omaha, NE","96,638",6.5m,576,170,64,223,333,"c# 2,002,wpf 1,810,xaml 713,.net 683,mvvm 463,javascript 143,",https://stackoverflow.com/users/87399/joe-white
perreal,14 years,"Seattle, WA, USA","96,760",11.9m,"2,284",31,,,,"bash 2,432,linux 1,725,shell 1,471,c 1,094,c++ 1,043,python 736,",https://stackoverflow.com/users/390913/perreal
reto meier,"15 years, 11 months","SF Bay Area, CA","96,815",6.7m,68,2,,,,"android 7,944,android-activity 4,143,android-intent 734,android-3.0-honeycomb 450,java 358,user-interface 301,",https://stackoverflow.com/users/822/reto-meier
