Name,Membership,Location,Reputation,Reached,Answers,Questions,Gold Badges,Silver Badges,Bronze Badges,Tags,Profile Link
niet the dark absol,"13 years, 8 months",United Kingdom,"323,175",43.3m,"7,788",277,,,,"javascript 13,547,php 8,117,html 6,561,css 4,356,jquery 4,192,arrays 1,865,",https://stackoverflow.com/users/507674/niet-the-dark-absol
omg ponies,15 years,,"330,499",62.0m,"3,003",34,84,532,506,"sql 26,801,mysql 12,511,sql-server 8,874,t-sql 7,609,oracle 3,667,database 3,036,",https://stackoverflow.com/users/135152/omg-ponies
jon skeet,"15 years, 9 months","Reading, United Kingdom","1,473,401",409.6m,"35,730",55,,,,"c# 266,461,java 158,424,.net 92,517,linq 38,505,string 24,820,generics 22,469,",https://stackoverflow.com/users/22656/jon-skeet
tim pietzcker,"15 years, 9 months","Ulm, Germany","333,704",46.4m,"4,338",20,,,,"regex 16,427,python 14,198,string 2,951,java 2,353,c# 2,345,javascript 2,104,",https://stackoverflow.com/users/20670/tim-pietzcker
importanceofbeingernest,"9 years, 9 months",QuantumLocation,"333,733",40.7m,"5,153",15,,,,"matplotlib 26,464,python 24,798,seaborn 6,293,pandas 3,988,plot 2,918,python-3.x 1,937,",https://stackoverflow.com/users/4124317/importanceofbeingernest
camickr,15 years,,"323,336",29.6m,"10,094",9,20,171,291,"java 25,083,swing 19,227,jtable 3,190,jframe 1,849,jpanel 1,688,user-interface 1,687,",https://stackoverflow.com/users/131872/camickr
rob napier,"15 years, 2 months","Raleigh, NC","295,739",13.6m,"5,682",29,,,,"swift 9,756,ios 7,481,objective-c 6,037,iphone 3,718,xcode 2,135,cocoa 1,302,",https://stackoverflow.com/users/97337/rob-napier
tomalak,"15 years, 10 months","Frankfurt, Germany","336,142",54.3m,"5,217",55,,,,"javascript 5,155,regex 3,638,xml 3,283,xslt 3,133,jquery 2,412,xpath 2,042,",https://stackoverflow.com/users/18771/tomalak
rory mccrossan,"13 years, 7 months","Buckinghamshire, United Kingdom","335,680",23.7m,"10,433",44,,,,"jquery 23,464,javascript 16,120,html 7,024,css 3,094,ajax 2,228,php 946,",https://stackoverflow.com/users/519413/rory-mccrossan
daniel c sobral,"15 years, 6 months","Boulder, CO, USA","296,458",20.6m,"2,006",83,,,,"scala 23,955,functional-programming 2,027,java 1,633,scala-collections 1,514,scala-2.8 843,types 452,",https://stackoverflow.com/users/53013/daniel-c-sobral
matthieu m,"14 years, 11 months","Amsterdam, Netherlands","295,921",28.9m,"3,214",73,,,,"c++ 18,313,rust 7,411,c++11 3,318,c 1,823,templates 1,057,stl 959,",https://stackoverflow.com/users/147192/matthieu-m
paul dixon,"15 years, 10 months",United Kingdom,"299,341",31.1m,"1,289",19,,,,"php 6,271,html 4,585,javascript 4,033,mysql 2,843,sql 1,472,arrays 747,",https://stackoverflow.com/users/6521/paul-dixon
sean patrick floyd,"14 years, 2 months","Seattle, WA, United States","296,940",47.2m,"2,607",85,,,,"java 17,969,spring-mvc 6,939,spring 4,011,maven 3,085,maven-2 1,481,hibernate 1,138,",https://stackoverflow.com/users/342852/sean-patrick-floyd
manojlds,"13 years, 7 months","Chennai, India","297,499",39.9m,"2,119",17,,,,"git 17,232,powershell 4,618,github 3,143,c# 1,186,python 849,svn 704,",https://stackoverflow.com/users/526535/manojlds
barry,"11 years, 5 months",,"295,932",8.5m,"4,295",220,,,,"c++ 25,024,c++11 6,653,c++17 5,125,c++20 4,655,templates 4,397,language-lawyer 3,211,",https://stackoverflow.com/users/2069064/barry
larsks,"14 years, 11 months",,"300,907",29.2m,"4,593",104,,,,"docker 9,623,git 5,408,python 4,006,ansible 2,360,bash 2,081,linux 1,464,",https://stackoverflow.com/users/147356/larsks
phrogz,"14 years, 6 months","Boulder, CO","300,917",35.5m,"2,130",304,,,,"javascript 10,059,ruby 8,513,html 6,939,svg 4,138,canvas 3,236,css 3,185,",https://stackoverflow.com/users/405017/phrogz
flybywire,"15 years, 5 months",,"269,152",23.8m,94,365,197,403,509,"java 582,python 50,linux 27,html 27,spring 20,hibernate 10,",https://stackoverflow.com/users/63051/flybywire
timex,"14 years, 9 months",,"267,764",35.0m,53,"1,575",359,792,"1,091","python 67,django 16,mysql 12,database 9,html 9,ios 8,",https://stackoverflow.com/users/179736/timex
erickson,"15 years, 10 months",United States,"268,180",42.8m,"2,221",12,58,398,495,"java 19,632,security 2,821,encryption 2,291,cryptography 1,369,generics 965,aes 854,",https://stackoverflow.com/users/3474/erickson
mitch wheat,"15 years, 10 months","Perth, Western Australia","298,942",48.2m,"3,986",3,,,,"sql-server 8,478,c# 7,126,t-sql 5,415,sql-server-2008 4,542,sql 4,131,.net 3,285,",https://stackoverflow.com/users/16076/mitch-wheat
salman arshad,"15 years, 3 months","Karachi, Pakistan","269,817",89.2m,"3,390",156,83,436,528,"javascript 8,611,jquery 5,043,php 4,611,css 4,220,sql 3,613,html 2,680,",https://stackoverflow.com/users/87015/salman-arshad
michael berkowski,"13 years, 7 months","Minneapolis, MN","269,477",26.7m,"3,741",10,,,,"php 9,215,mysql 7,127,sql 3,588,javascript 3,361,html 1,537,.htaccess 1,408,",https://stackoverflow.com/users/541091/michael-berkowski
r%c3%a9mi rousselet,"6 years, 11 months","Paris, France","271,336",20.5m,"1,037",51,,,,"flutter 25,376,dart 15,527,flutter-layout 4,416,android 982,ios 862,widget 633,",https://stackoverflow.com/users/8394265/r%c3%a9mi-rousselet
henk holterman,"15 years, 5 months",Netherlands,"270,721",29.1m,"5,266",11,31,347,528,"c# 18,210,.net 5,822,blazor 2,108,multithreading 1,502,winforms 1,277,asp.net 934,",https://stackoverflow.com/users/60761/henk-holterman
eli bendersky,"15 years, 10 months",California,"269,893",29.0m,"1,650",73,,,,"python 10,721,c 3,530,c++ 1,220,llvm 1,107,algorithm 969,go 776,",https://stackoverflow.com/users/8206/eli-bendersky
brian agnew,"15 years, 10 months","London, United Kingdom","270,892",44.8m,"3,817",2,,,,"java 16,415,bash 2,648,linux 2,096,shell 1,988,string 1,152,c# 519,",https://stackoverflow.com/users/12960/brian-agnew
dogbane,"15 years, 10 months","London, United Kingdom","271,866",44.8m,"1,795",55,,,,"bash 10,015,java 8,588,shell 5,131,linux 2,541,unix 2,012,regex 792,",https://stackoverflow.com/users/7412/dogbane
justin niessner,"15 years, 3 months","Bellefonte, PA, USA","244,533",40.4m,"3,640",12,,,,"c# 11,467,.net 2,710,javascript 2,419,linq 2,231,java 1,877,asp.net 1,612,",https://stackoverflow.com/users/84651/justin-niessner
titian cernicova dragomir,15 years,"London, UK","244,345",14.2m,"3,435",6,,,,"typescript 19,202,javascript 2,151,reactjs 1,729,types 1,339,typescript-typings 1,024,angular 999,",https://stackoverflow.com/users/125734/titian-cernicova-dragomir
oliver charlesworth,15 years,"London, United Kingdom","270,851",33.3m,"4,183",20,,,,"c++ 10,485,c 7,605,java 5,140,arrays 1,983,pointers 1,338,matlab 898,",https://stackoverflow.com/users/129570/oliver-charlesworth
mozway,3 years,Mare Tranquillitatis,"244,750",3.8m,"12,472",3,,,,"python 14,693,pandas 12,618,dataframe 6,111,numpy 2,224,python-3.x 1,345,list 905,",https://stackoverflow.com/users/16343464/mozway
user2357112,"11 years, 2 months",,"272,135",15.7m,"4,943",29,29,466,542,"python 19,841,python-3.x 3,744,numpy 3,579,java 1,285,python-2.7 1,190,arrays 985,",https://stackoverflow.com/users/2357112/user2357112
taryn,"13 years, 11 months",Arizona,"246,030",37.5m,"3,529",57,,,,"sql 16,889,sql-server 11,254,sql-server-2008 6,143,pivot 4,970,mysql 4,433,t-sql 4,281,",https://stackoverflow.com/users/426671/taryn
john zwinck,"15 years, 10 months",,"246,062",20.9m,"5,528",125,41,332,448,"python 5,784,c++ 5,533,c 2,243,pandas 1,317,numpy 1,173,linux 1,116,",https://stackoverflow.com/users/4323/john-zwinck
yakk adam nevraumont,"11 years, 8 months",Canada,"270,446",14.3m,"5,591",35,,,,"c++ 21,134,c++11 9,811,templates 3,310,c++17 2,558,c++14 2,282,lambda 1,370,",https://stackoverflow.com/users/1774667/yakk-adam-nevraumont
stack overflow is garbage,"15 years, 8 months",,"246,375",22.6m,"1,791",20,,,,"c++ 17,793,c 2,258,performance 1,955,c# 1,548,templates 1,436,stl 1,287,",https://stackoverflow.com/users/33213/stack-overflow-is-garbage
sweeper,"8 years, 11 months",HK,"248,315",7.0m,"7,343",286,,,,"swift 5,730,java 5,575,c# 2,979,ios 2,299,kotlin 1,474,generics 1,159,",https://stackoverflow.com/users/5133585/sweeper
fenton,"15 years, 4 months",United Kingdom,"247,577",37.3m,"3,030",98,,,,"typescript 13,684,javascript 6,611,jquery 1,884,c# 1,228,html 1,061,css 682,",https://stackoverflow.com/users/75525/fenton
ashwini chaudhary,13 years,Toronto,"248,723",36.7m,"3,773",18,,,,"python 24,090,list 6,375,string 2,963,dictionary 2,268,python-3.x 2,131,python-2.7 1,839,",https://stackoverflow.com/users/846892/ashwini-chaudhary
loictheaztec,"10 years, 1 month","Paris, France","247,697",18.6m,"5,472",5,,,,"woocommerce 17,942,php 17,286,wordpress 17,281,product 5,205,orders 4,575,hook-woocommerce 2,510,",https://stackoverflow.com/users/3730754/loictheaztec
brenbarn,"12 years, 1 month","Santa Barbara, CA","248,915",31.9m,"2,289",24,,,,"python 22,565,pandas 5,600,numpy 2,044,dictionary 1,616,python-3.x 929,list 865,",https://stackoverflow.com/users/1427416/brenbarn
ted hopp,"13 years, 7 months","Potomac, MD","233,926",30.7m,"4,352",92,,,,"java 9,733,android 7,683,javascript 1,808,mysql 1,082,arrays 1,070,algorithm 624,",https://stackoverflow.com/users/535871/ted-hopp
hobbs,"14 years, 11 months","New Jersey, United States","234,173",14.8m,"1,842",4,,,,"git 12,055,perl 3,623,go 1,205,python 541,c 514,linux 473,",https://stackoverflow.com/users/152948/hobbs
bathsheba,"11 years, 2 months","Mayfair, London","233,599",13.1m,"5,376",48,,,,"c++ 13,149,c 5,815,java 2,866,c++11 1,358,pointers 1,155,arrays 1,005,",https://stackoverflow.com/users/2380830/bathsheba
jandy,"14 years, 3 months",Germany,"234,728",32.1m,"1,986",65,,,,"javascript 18,149,jquery 9,794,html 1,861,arrays 1,121,css 729,ajax 583,",https://stackoverflow.com/users/1386886/jandy
laurenz albe,"8 years, 1 month","Vienna, Austria","233,937",15.5m,"8,786",5,,,,"postgresql 16,395,sql 2,859,database 979,indexing 723,psql 559,plpgsql 423,",https://stackoverflow.com/users/6464308/laurenz-albe
leo dabus,"11 years, 2 months",Brazil,"234,669",20.0m,"2,479",2,,,,"swift 20,481,ios 11,533,string 2,655,macos 2,550,xcode 2,272,date 2,188,",https://stackoverflow.com/users/2303865/leo-dabus
andrew,"15 years, 6 months","Portland, OR","235,061",47.6m,290,741,195,524,713,"ruby-on-rails 441,ruby 366,php 322,zend-framework 237,jquery 151,selenium 53,",https://stackoverflow.com/users/48523/andrew
sergey berezovskiy,"13 years, 9 months","Dublin, Ireland","235,012",20.4m,"4,160",10,,,,"c# 18,641,linq 5,617,.net 3,961,entity-framework 3,134,winforms 1,780,unit-testing 1,219,",https://stackoverflow.com/users/470005/sergey-berezovskiy
%c3%93scar l%c3%b3pez,"14 years, 8 months","Madrid, Spain","234,948",35.4m,"4,244",20,,,,"java 7,635,python 6,422,scheme 4,194,string 2,473,list 2,395,racket 2,352,",https://stackoverflow.com/users/201359/%c3%93scar-l%c3%b3pez
chuck,"15 years, 6 months",,"236,172",17.6m,"2,604",2,30,304,392,"ruby 7,472,objective-c 5,957,javascript 3,453,iphone 1,679,cocoa 1,661,ruby-on-rails 1,096,",https://stackoverflow.com/users/50742/chuck
lonesomeday,"13 years, 11 months",United Kingdom,"236,321",22.0m,"2,129",6,,,,"javascript 12,340,jquery 8,589,php 4,754,html 2,477,dom 1,331,arrays 1,239,",https://stackoverflow.com/users/417562/lonesomeday
andomar,"15 years, 6 months",Netherlands,"236,512",36.8m,"4,263",28,,,,"sql 12,619,sql-server 7,034,mysql 4,629,t-sql 2,296,sql-server-2008 1,909,sql-server-2005 1,440,",https://stackoverflow.com/users/50552/andomar
dan moulding,"15 years, 2 months",Massachusetts,"217,295",15.5m,156,6,23,98,100,"git 19,374,branch 5,144,c 853,c++ 567,linux 262,makefile 178,",https://stackoverflow.com/users/95706/dan-moulding
chris pratt,"13 years, 4 months","Houston, Texas, USA","237,080",18.1m,"5,180",51,,,,"django 8,756,asp.net-mvc 5,259,c# 4,841,asp.net-core 3,566,asp.net 1,771,razor 1,176,",https://stackoverflow.com/users/654031/chris-pratt
ryan cavanaugh,"11 years, 9 months","Seattle, WA","217,014",17.9m,903,22,,,,"typescript 18,856,javascript 2,432,module 1,257,types 589,node.js 335,typescript-typings 188,",https://stackoverflow.com/users/1704166/ryan-cavanaugh
user229044,"14 years, 7 months",♦,"237,018",18.6m,"3,141",13,,,,"javascript 6,250,arrays 4,537,php 3,745,git 3,089,ruby-on-rails 2,976,ruby 2,229,",https://stackoverflow.com/users/229044/user229044
eerorika,"11 years, 5 months","Dublin, Ireland","236,677",7.8m,"6,878",4,,,,"c++ 19,851,c++11 2,675,c 1,434,pointers 1,377,language-lawyer 1,181,arrays 1,066,",https://stackoverflow.com/users/2079303/eerorika
marcin,"14 years, 6 months",,"232,282",16.5m,"7,344",8,14,284,337,"amazon-web-services 11,305,terraform 4,081,python 2,282,aws-lambda 2,030,aws-cloudformation 1,806,amazon-s3 1,405,",https://stackoverflow.com/users/248823/marcin
